,pickup_dt,borough,pickups,spd,vsb,temp,dewp,slp,pcp01,pcp06,pcp24,sd,hday
13594,2015-03-27 07:00:00,Bronx,43,5.0,10.0,43.0,39.0,1005.6,0.01,0.0,0.0,0.0,N
13601,2015-03-27 08:00:00,Bronx,92,6.0,5.5,42.5,39.5,1006.5,0.035,0.0,0.0,0.0,N
13608,2015-03-27 09:00:00,Bronx,67,5.0,7.0,41.6666666666667,38.6666666666667,1006.9,0.0566666666666667,0.0,0.0,0.0,N
13614,2015-03-27 10:00:00,Bronx,48,6.0,6.0,39.0,35.5,1007.8,0.0433333333333333,0.0,0.0,0.0,N
13620,2015-03-27 11:00:00,Bronx,42,4.33333333333333,9.33333333333333,39.0,36.0,1007.9,0.0333333333333333,0.0,0.0,0.0,N
13627,2015-03-27 12:00:00,Bronx,41,3.0,10.0,39.0,36.0,1007.4,0.02,0.27,0.59,0.0,N
13634,2015-03-27 13:00:00,Bronx,46,0.0,10.0,39.0,36.0,1007.3,0.0,0.0,0.0,0.0,N
13641,2015-03-27 14:00:00,Bronx,46,6.0,10.0,40.3333333333333,35.6666666666667,1007.7,0.0,0.0,0.0,0.0,N
13648,2015-03-27 15:00:00,Bronx,56,6.0,10.0,41.0,35.0,1007.5,0.0,0.0,0.0,0.0,N
13655,2015-03-27 16:00:00,Bronx,52,0.0,10.0,42.5,34.5,1007.2,0.0,0.0,0.0,0.0,N
13662,2015-03-27 17:00:00,Bronx,68,5.5,10.0,44.0,35.0,1006.8,0.0,0.0,0.0,0.0,N
13669,2015-03-27 18:00:00,Bronx,57,1.6,10.0,44.2,33.2,1006.8,0.0,0.0,0.0,0.0,N
13676,2015-03-27 19:00:00,Bronx,70,6.0,10.0,44.0,32.0,1006.6,0.0,0.0,0.0,0.0,N
13683,2015-03-27 20:00:00,Bronx,61,9.0,10.0,45.0,31.0,1006.0,0.0,0.0,0.0,0.0,N
13690,2015-03-27 21:00:00,Bronx,62,0.0,10.0,45.0,29.0,1006.4,0.0,0.0,0.0,0.0,N
13697,2015-03-27 22:00:00,Bronx,79,6.0,10.0,45.0,28.0,1006.5,0.0,0.0,0.0,0.0,N
13704,2015-03-27 23:00:00,Bronx,98,5.0,10.0,44.0,28.0,1007.0,0.0,0.0,0.0,0.0,N
13711,2015-03-28 00:00:00,Bronx,78,3.0,10.0,44.0,26.0,1007.5,0.0,0.0,0.0,0.0,N
13718,2015-03-28 01:00:00,Bronx,70,5.0,10.0,43.0,25.0,1008.2,0.0,0.0,0.0,0.0,N
13724,2015-03-28 02:00:00,Bronx,51,5.0,10.0,43.0,24.0,1008.4,0.0,0.0,0.0,0.0,N
13731,2015-03-28 03:00:00,Bronx,32,5.0,10.0,42.0,24.0,1008.7,0.0,0.0,0.0,0.0,N
13738,2015-03-28 04:00:00,Bronx,31,5.0,10.0,41.0,25.0,1008.8,0.0,0.0,0.0,0.0,N
13744,2015-03-28 05:00:00,Bronx,23,8.0,10.0,40.0,24.0,1008.2,0.0,0.0,0.27,0.0,N
13751,2015-03-28 06:00:00,Bronx,23,8.0,10.0,39.0,24.0,1008.5,0.0,0.0,0.0,0.0,N
13757,2015-03-28 07:00:00,Bronx,30,13.0,10.0,38.0,23.0,1007.9,0.0,0.0,0.0,0.0,N
13763,2015-03-28 08:00:00,Bronx,37,6.0,10.0,37.0,22.0,1007.6,0.0,0.0,0.0,0.0,N
13770,2015-03-28 09:00:00,Bronx,32,9.0,10.0,36.0,20.0,1007.7,0.0,0.0,0.0,0.0,N
13777,2015-03-28 10:00:00,Bronx,39,9.0,10.0,36.0,20.0,1007.6,0.0,0.0,0.0,0.0,N
13783,2015-03-28 11:00:00,Bronx,56,7.0,10.0,35.0,19.0,1008.3,0.0,0.0,0.0,0.0,N
13789,2015-03-28 12:00:00,Bronx,62,10.0,10.0,34.0,18.0,1009.0,0.0,0.0,0.0,0.0,N
13796,2015-03-28 13:00:00,Bronx,63,7.0,10.0,33.0,17.0,1009.2,0.0,0.0,0.0,0.0,N
13803,2015-03-28 14:00:00,Bronx,72,8.0,10.0,34.0,18.0,1009.6,0.0,0.0,0.0,0.0,N
13810,2015-03-28 15:00:00,Bronx,80,7.0,10.0,34.0,18.0,1010.1,0.0,0.0,0.0,0.0,N
13817,2015-03-28 16:00:00,Bronx,76,10.0,3.66666666666667,33.6666666666667,20.6666666666667,1010.2,0.0,0.0,0.0,0.0,N
13823,2015-03-28 17:00:00,Bronx,62,7.0,10.0,34.0,22.0,1010.4,0.0,0.0,0.0,0.0,N
13830,2015-03-28 18:00:00,Bronx,89,7.0,10.0,37.0,23.0,1010.3,0.0,0.0,0.0,0.0,N
13837,2015-03-28 19:00:00,Bronx,88,6.0,10.0,38.0,21.0,1010.2,0.0,0.0,0.0,0.0,N
13844,2015-03-28 20:00:00,Bronx,95,9.0,10.0,39.0,22.0,1010.3,0.0,0.0,0.0,0.0,N
13850,2015-03-28 21:00:00,Bronx,124,0.0,10.0,39.0,22.0,1011.2,0.0,0.0,0.0,0.0,N
13857,2015-03-28 22:00:00,Bronx,132,8.0,10.0,37.0,23.0,1012.4,0.0,0.0,0.0,0.0,N
13864,2015-03-28 23:00:00,Bronx,110,13.0,10.0,36.0,15.0,1014.1,0.0,0.0,0.0,0.0,N
13871,2015-03-29 00:00:00,Bronx,88,6.0,10.0,33.0,18.0,1015.9,0.0,0.0,0.0,0.0,N
13878,2015-03-29 01:00:00,Bronx,65,10.0,10.0,31.0,18.0,1017.2,0.0,0.02,0.0,0.0,N
13885,2015-03-29 02:00:00,Bronx,60,5.0,10.0,30.0,16.0,1018.3,0.0,0.03,0.0,0.0,N
13892,2015-03-29 03:00:00,Bronx,47,7.0,10.0,29.0,14.0,1019.1,0.0,0.04,0.0,0.0,N
13899,2015-03-29 04:00:00,Bronx,41,10.0,5.0,27.0,17.0,1019.8,0.0,0.04,0.0,0.0,N
13906,2015-03-29 05:00:00,Bronx,26,6.0,8.0,26.0,15.0,1020.2,0.0,0.05,0.0,0.0,N
13913,2015-03-29 06:00:00,Bronx,18,6.0,10.0,26.0,12.0,1020.3,0.0,0.05,0.0,0.0,N
13920,2015-03-29 07:00:00,Bronx,20,7.0,10.0,27.0,9.0,1020.6,0.0,0.03,0.0,0.0,N
13926,2015-03-29 08:00:00,Bronx,12,8.0,10.0,26.0,6.0,1020.8,0.0,0.02,0.0,0.0,N
13933,2015-03-29 09:00:00,Bronx,26,5.0,10.0,26.0,8.0,1021.5,0.0,0.01,0.0,0.0,N
13939,2015-03-29 10:00:00,Bronx,31,6.0,10.0,26.0,5.0,1022.2,0.0,0.01,0.0,0.0,N
13946,2015-03-29 11:00:00,Bronx,32,11.0,10.0,25.0,3.0,1023.2,0.0,0.0,0.0,0.0,N
13952,2015-03-29 12:00:00,Bronx,41,8.0,10.0,26.0,4.0,1024.3,0.0,0.0,0.0,0.0,N
13958,2015-03-29 13:00:00,Bronx,58,5.0,10.0,27.0,4.0,1024.8,0.0,0.0,0.0,0.0,N
13964,2015-03-29 14:00:00,Bronx,65,5.0,10.0,31.0,2.0,1025.4,0.0,0.0,0.0,0.0,N
13971,2015-03-29 15:00:00,Bronx,52,6.0,10.0,33.0,1.0,1025.4,0.0,0.0,0.0,0.0,N
13978,2015-03-29 16:00:00,Bronx,58,6.0,10.0,37.0,-1.0,1025.0,0.0,0.0,0.0,0.0,N
13984,2015-03-29 17:00:00,Bronx,58,9.0,10.0,39.0,0.0,1024.7,0.0,0.0,0.0,0.0,N
13991,2015-03-29 18:00:00,Bronx,68,3.0,10.0,40.0,1.0,1024.0,0.0,0.0,0.0,0.0,N
13998,2015-03-29 19:00:00,Bronx,61,7.0,10.0,44.0,4.0,1022.7,0.0,0.0,0.0,0.0,N
14005,2015-03-29 20:00:00,Bronx,52,8.0,10.0,44.0,3.0,1021.9,0.0,0.0,0.0,0.0,N
14012,2015-03-29 21:00:00,Bronx,57,9.0,10.0,45.0,3.0,1021.4,0.0,0.0066666666666666,0.0,0.0,N
14019,2015-03-29 22:00:00,Bronx,72,5.0,10.0,46.0,3.0,1021.4,0.0,0.0266666666666667,0.0,0.0,N
14026,2015-03-29 23:00:00,Bronx,65,5.0,10.0,45.0,4.0,1021.3,0.0,0.03,0.0,0.0,N
14033,2015-03-30 00:00:00,Bronx,62,6.0,10.0,45.0,1.0,1021.0,0.0,0.0366666666666667,0.0,0.0,N
14039,2015-03-30 01:00:00,Bronx,41,3.0,10.0,40.0,18.0,1020.6,0.0,0.04,0.0,0.0,N
14046,2015-03-30 02:00:00,Bronx,21,8.0,10.0,42.0,9.0,1020.5,0.0,0.04,0.0,0.0,N
14052,2015-03-30 03:00:00,Bronx,18,6.0,10.0,41.0,10.0,1020.4,0.0,0.0333333333333333,0.0,0.0,N
14058,2015-03-30 04:00:00,Bronx,12,6.0,10.0,40.0,13.0,1019.7,0.0,0.0133333333333333,0.0,0.0,N
14064,2015-03-30 05:00:00,Bronx,16,6.0,10.0,40.0,11.0,1019.6,0.0,0.01,0.0,0.0,N
14070,2015-03-30 06:00:00,Bronx,26,9.0,10.0,39.0,11.0,1018.3,0.0,0.0033333333333333,0.0,0.0,N
14077,2015-03-30 07:00:00,Bronx,42,5.0,10.0,39.0,11.0,1017.2,0.0,0.0675,0.0,0.0,N
14084,2015-03-30 08:00:00,Bronx,74,7.0,10.0,39.0,12.0,1016.2,0.0,0.190833333333333,0.0,0.0,N
14091,2015-03-30 09:00:00,Bronx,64,5.0,10.0,39.0,12.0,1015.2,0.0,0.215833333333333,0.0,0.0,N
14098,2015-03-30 10:00:00,Bronx,43,9.0,6.5,38.0,18.5,1014.8,0.0,0.235833333333333,0.0,0.0,N
14105,2015-03-30 11:00:00,Bronx,25,4.5,3.7,36.4,24.2,1013.6,0.0,0.235833333333333,0.0,0.0,N
14111,2015-03-30 12:00:00,Bronx,35,5.0,10.0,39.0,29.0,1012.8,0.0,0.0,0.0,0.0,N
14118,2015-03-30 13:00:00,Bronx,34,10.0,10.0,38.0,29.0,1012.0,0.0,0.245833333333333,0.0,0.0,N
14125,2015-03-30 14:00:00,Bronx,32,11.0,10.0,39.0,29.0,1011.6,0.0,0.213333333333333,0.0,0.0,N
14131,2015-03-30 15:00:00,Bronx,41,16.0,10.0,40.0,29.0,1011.0,0.0,0.146666666666667,0.0,0.0,N
14137,2015-03-30 16:00:00,Bronx,57,6.0,10.0,42.0,30.0,1010.0,0.0,0.165,0.0,0.0,N
14143,2015-03-30 17:00:00,Bronx,53,6.0,10.0,46.0,30.0,1009.2,0.0,0.178333333333333,0.02,0.0,N
14149,2015-03-30 18:00:00,Bronx,48,8.0,10.0,50.0,29.0,1008.5,0.0,0.198333333333333,0.03,0.0,N
14155,2015-03-30 19:00:00,Bronx,38,8.0,10.0,53.0,27.0,1007.9,0.0,0.188333333333333,0.04,0.0,N
14162,2015-03-30 20:00:00,Bronx,43,11.0,10.0,52.0,25.0,1008.0,0.0,0.153333333333333,0.04,0.0,N
14168,2015-03-30 21:00:00,Bronx,32,9.0,10.0,51.0,25.0,1008.2,0.0,0.0966666666666667,0.05,0.0,N
14174,2015-03-30 22:00:00,Bronx,40,8.0,10.0,51.0,24.0,1008.4,0.0,0.0533333333333333,0.05,0.0,N
14181,2015-03-30 23:00:00,Bronx,34,7.0,10.0,52.0,22.0,1008.7,0.0,0.02,0.05,0.0,N
14188,2015-03-31 00:00:00,Bronx,18,7.0,10.0,51.0,21.0,1008.8,0.0,0.0,0.05,0.0,N
14194,2015-03-31 01:00:00,Bronx,16,3.0,10.0,50.0,22.0,1009.7,0.0,0.0,0.05,0.0,N
14201,2015-03-31 02:00:00,Bronx,9,11.0,10.0,47.0,28.0,1011.2,0.0,0.0,0.05,0.0,N
14207,2015-03-31 03:00:00,Bronx,6,11.0,10.0,45.0,30.0,1011.5,0.0,0.0,0.05,0.0,N
14213,2015-03-31 04:00:00,Bronx,14,7.0,10.0,44.0,32.0,1011.3,0.0,0.0,0.05,0.0,N
14219,2015-03-31 05:00:00,Bronx,13,8.0,10.0,44.0,31.0,1010.9,0.0,0.0,0.0,0.0,N
14225,2015-03-31 06:00:00,Bronx,29,8.0,10.0,43.0,32.0,1010.6,0.0,0.0,0.05,0.0,N
14232,2015-03-31 07:00:00,Bronx,45,5.0,10.0,43.0,31.0,1010.2,0.0,0.0,0.05,0.0,N
14239,2015-03-31 08:00:00,Bronx,80,5.0,10.0,42.0,31.0,1010.0,0.0,0.0,0.05,0.0,N
14246,2015-03-31 09:00:00,Bronx,52,7.0,10.0,42.0,29.0,1010.5,0.0,0.0,0.05,0.0,N
14252,2015-03-31 10:00:00,Bronx,44,5.0,10.0,41.0,26.0,1011.0,0.0,0.0,0.05,0.0,N
14259,2015-03-31 11:00:00,Bronx,37,11.0,10.0,40.0,23.0,1011.7,0.0,0.0,0.05,0.0,N
14265,2015-03-31 12:00:00,Bronx,43,5.0,10.0,40.0,22.0,1012.3,0.0,0.0,0.05,0.0,N
14272,2015-03-31 13:00:00,Bronx,30,7.0,10.0,41.0,22.0,1011.9,0.0,0.0,0.05,0.0,N
14279,2015-03-31 14:00:00,Bronx,46,7.5,10.0,44.0,22.0,1011.7,0.0,0.0,0.0566666666666667,0.0,N
14286,2015-03-31 15:00:00,Bronx,53,8.0,10.0,45.0,21.0,1011.3,0.0,0.0,0.0766666666666667,0.0,N
14293,2015-03-31 16:00:00,Bronx,58,0.0,10.0,46.0,21.0,1010.2,0.0,0.0,0.08,0.0,N
14299,2015-03-31 17:00:00,Bronx,60,3.0,10.0,46.0,21.0,1009.2,0.0,0.0,0.0866666666666667,0.0,N
14306,2015-03-31 18:00:00,Bronx,52,0.0,8.0,41.0,27.0,1008.7,0.0,0.0,0.07,0.0,N
14313,2015-03-31 19:00:00,Bronx,57,6.0,5.33333333333333,38.3333333333333,32.6666666666667,1008.4,0.0266666666666667,0.0,0.06,0.0,N
14319,2015-03-31 20:00:00,Bronx,49,3.0,9.1,38.0,34.0,1008.1,0.05,0.0,0.05,0.0,N
14326,2015-03-31 21:00:00,Bronx,50,6.0,10.0,39.0,34.5,1007.8,0.01,0.0,0.05,0.0,N
14333,2015-03-31 22:00:00,Bronx,53,3.0,10.0,38.0,33.0,1007.7,0.0116666666666667,0.0,0.04,0.0,N
14340,2015-03-31 23:00:00,Bronx,36,6.33333333333333,6.33333333333333,37.0,32.6666666666667,1007.9,0.0133333333333333,0.0,0.04,0.0,N
14346,2015-04-01 00:00:00,Bronx,35,7.33333333333333,6.0,36.6666666666667,33.0,1008.0,0.0266666666666667,0.11,0.1075,0.0,N
14352,2015-04-01 01:00:00,Bronx,19,5.5,7.05,36.0,33.0,1008.6,0.03,0.0,0.230833333333333,0.0,N
14358,2015-04-01 02:00:00,Bronx,13,5.0,8.4,36.0,32.6,1008.7,0.01,0.0,0.255833333333333,0.0,N
14364,2015-04-01 03:00:00,Bronx,9,6.66666666666667,8.73333333333333,36.0,32.3333333333333,1009.2,0.0075,0.0,0.275833333333333,0.0,N
14370,2015-04-01 04:00:00,Bronx,15,3.0,10.0,35.0,32.0,1009.4,0.005,0.0,0.275833333333333,0.0,N
14376,2015-04-01 05:00:00,Bronx,13,6.0,10.0,35.0,31.0,1009.7,0.0025,0.0,0.17,0.0,N
14382,2015-04-01 06:00:00,Bronx,31,3.0,10.0,35.0,29.0,1010.2,0.0,0.06,0.285833333333333,0.0,N
14389,2015-04-01 07:00:00,Bronx,57,10.0,10.0,35.0,26.0,1010.6,0.0,0.0,0.320833333333333,0.0,N
14396,2015-04-01 08:00:00,Bronx,70,8.0,10.0,34.0,25.0,1011.7,0.0,0.0,0.3775,0.0,N
14403,2015-04-01 09:00:00,Bronx,53,6.0,10.0,33.0,22.0,1012.4,0.0,0.0,0.420833333333333,0.0,N
14410,2015-04-01 10:00:00,Bronx,44,3.0,10.0,32.0,21.0,1013.9,0.0,0.0,0.454166666666667,0.0,N
14417,2015-04-01 11:00:00,Bronx,42,0.0,10.0,32.0,19.0,1015.0,0.0,0.0,0.474166666666667,0.0,N
14424,2015-04-01 12:00:00,Bronx,30,0.0,10.0,33.0,20.0,1016.1,0.0,0.0,0.17,0.0,N
14430,2015-04-01 13:00:00,Bronx,43,3.0,10.0,35.0,19.0,1017.4,0.0,0.0,0.474166666666667,0.0,N
14436,2015-04-01 14:00:00,Bronx,41,3.0,10.0,35.0,17.0,1018.5,0.0,0.0,0.474166666666667,0.0,N
14443,2015-04-01 15:00:00,Bronx,44,8.0,10.0,38.0,14.0,1018.6,0.0,0.0,0.474166666666667,0.0,N
14450,2015-04-01 16:00:00,Bronx,39,7.0,10.0,41.0,12.0,1018.7,0.0,0.0,0.4675,0.0,N
14456,2015-04-01 17:00:00,Bronx,48,9.0,10.0,44.0,13.0,1018.7,0.0,0.0,0.4475,0.0,N
14462,2015-04-01 18:00:00,Bronx,41,5.0,10.0,46.0,17.0,1018.9,0.0,0.0,0.444166666666667,0.0,N
14469,2015-04-01 19:00:00,Bronx,54,7.0,10.0,47.0,16.0,1018.5,0.0,0.0,0.4375,0.0,N
14475,2015-04-01 20:00:00,Bronx,55,8.0,10.0,50.0,17.0,1018.3,0.0,0.0,0.434166666666667,0.0,N
14482,2015-04-01 21:00:00,Bronx,43,8.0,10.0,50.0,19.0,1018.3,0.0,0.0,0.434166666666667,0.0,N
14488,2015-04-01 22:00:00,Bronx,43,9.0,10.0,50.0,15.0,1019.2,0.0,0.0,0.434166666666667,0.0,N
14494,2015-04-01 23:00:00,Bronx,44,6.0,10.0,50.0,15.0,1020.0,0.0,0.0,0.434166666666667,0.0,N
14501,2015-04-02 00:00:00,Bronx,27,8.0,10.0,48.0,13.0,1021.1,0.0,0.0,0.434166666666667,0.0,N
14508,2015-04-02 01:00:00,Bronx,27,0.0,10.0,47.0,13.0,1022.2,0.0,0.0,0.434166666666667,0.0,N
14514,2015-04-02 02:00:00,Bronx,14,0.0,10.0,46.0,13.0,1022.6,0.0,0.0,0.366666666666667,0.0,N
14520,2015-04-02 03:00:00,Bronx,16,3.0,10.0,45.0,10.0,1022.9,0.0,0.0,0.243333333333333,0.0,N
14526,2015-04-02 04:00:00,Bronx,13,5.0,10.0,45.0,9.0,1023.0,0.0,0.0,0.218333333333333,0.0,N
14532,2015-04-02 05:00:00,Bronx,24,3.0,10.0,44.0,8.0,1023.4,0.0,0.0,0.0,0.0,N
14539,2015-04-02 06:00:00,Bronx,37,0.0,10.0,43.0,9.0,1023.4,0.0,0.0,0.198333333333333,0.0,N
14546,2015-04-02 07:00:00,Bronx,52,0.0,10.0,42.0,12.0,1023.4,0.0,0.0,0.198333333333333,0.0,N
14553,2015-04-02 08:00:00,Bronx,75,0.0,10.0,43.0,12.0,1023.0,0.0,0.0,0.188333333333333,0.0,N
14560,2015-04-02 09:00:00,Bronx,54,3.0,10.0,42.0,15.0,1023.5,0.0,0.0,0.153333333333333,0.0,N
14566,2015-04-02 10:00:00,Bronx,42,3.0,10.0,43.0,19.0,1023.6,0.0,0.0,0.0966666666666667,0.0,N
14573,2015-04-02 11:00:00,Bronx,35,8.0,10.0,44.0,23.0,1024.2,0.0,0.0,0.0533333333333333,0.0,N
14579,2015-04-02 12:00:00,Bronx,31,5.0,10.0,46.0,22.0,1024.6,0.0,0.0,0.02,0.0,N
14586,2015-04-02 13:00:00,Bronx,44,3.0,10.0,48.0,24.0,1024.4,0.0,0.0,0.0,0.0,N
14592,2015-04-02 14:00:00,Bronx,46,5.5,10.0,50.0,25.0,1023.9,0.0,0.0,0.0,0.0,N
14598,2015-04-02 15:00:00,Bronx,46,8.0,10.0,55.0,26.0,1022.8,0.0,0.0,0.0,0.0,N
14604,2015-04-02 16:00:00,Bronx,49,15.0,10.0,57.0,26.0,1021.7,0.0,0.0,0.0,0.0,N
14611,2015-04-02 17:00:00,Bronx,55,9.0,10.0,61.0,28.0,1020.6,0.0,0.0,0.0,0.0,N
14618,2015-04-02 18:00:00,Bronx,71,9.0,10.0,63.0,28.0,1019.2,0.0,0.0,0.0,0.0,N
14625,2015-04-02 19:00:00,Bronx,58,11.0,10.0,67.0,30.0,1017.9,0.0,0.0,0.0,0.0,N
14632,2015-04-02 20:00:00,Bronx,50,13.0,10.0,66.0,30.0,1017.0,0.0,0.0,0.0,0.0,N
14638,2015-04-02 21:00:00,Bronx,57,8.0,10.0,65.0,31.0,1016.3,0.0,0.0,0.0,0.0,N
14645,2015-04-02 22:00:00,Bronx,41,3.0,10.0,64.0,32.0,1015.7,0.0,0.0,0.0,0.0,N
14652,2015-04-02 23:00:00,Bronx,50,8.0,10.0,58.0,32.0,1015.4,0.0,0.0,0.0,0.0,N
14659,2015-04-03 00:00:00,Bronx,43,6.0,10.0,59.0,32.0,1014.8,0.0,0.0,0.0,0.0,N
14666,2015-04-03 01:00:00,Bronx,33,6.0,10.0,59.0,29.0,1015.1,0.0,0.0,0.0,0.0,N
14672,2015-04-03 02:00:00,Bronx,26,6.0,10.0,59.0,28.0,1014.6,0.0,0.0,0.0,0.0,N
14679,2015-04-03 03:00:00,Bronx,22,6.0,10.0,59.0,31.0,1013.5,0.0,0.0,0.0,0.0,N
14686,2015-04-03 04:00:00,Bronx,15,8.0,10.0,59.0,34.0,1012.9,0.0,0.0,0.0,0.0,N
14692,2015-04-03 05:00:00,Bronx,20,9.0,10.0,59.0,35.0,1011.7,0.0,0.0,0.0,0.0,N
14699,2015-04-03 06:00:00,Bronx,26,7.0,10.0,60.0,35.0,1011.4,0.0,0.0,0.0,0.0,N
14706,2015-04-03 07:00:00,Bronx,32,11.0,10.0,61.0,35.0,1010.4,0.0,0.0,0.0,0.0,N
14713,2015-04-03 08:00:00,Bronx,50,8.0,10.0,61.0,36.0,1010.0,0.0,0.0,0.0,0.0,N
14719,2015-04-03 09:00:00,Bronx,42,13.0,10.0,61.0,37.0,1009.8,0.0,0.0,0.0,0.0,N
14726,2015-04-03 10:00:00,Bronx,39,5.0,10.0,61.0,38.0,1010.1,0.0,0.0,0.0,0.0,N
14733,2015-04-03 11:00:00,Bronx,39,11.0,10.0,61.0,40.0,1010.2,0.0,0.0,0.0,0.0,N
14739,2015-04-03 12:00:00,Bronx,36,10.0,10.0,61.0,42.0,1010.5,0.0,0.0,0.0,0.0,N
14745,2015-04-03 13:00:00,Bronx,35,8.5,10.0,62.0,44.0,1010.3,0.0,0.0,0.0,0.0,N
14751,2015-04-03 14:00:00,Bronx,32,7.0,10.0,63.0,46.0,1010.9,0.0,0.0,0.0,0.0,N
14758,2015-04-03 15:00:00,Bronx,46,9.0,9.1,62.0,49.0,1010.9,0.0,0.0,0.0,0.0,N
14765,2015-04-03 16:00:00,Bronx,41,8.0,8.0,62.0,51.0,1010.6,0.0,0.0,0.0,0.0,N
14772,2015-04-03 17:00:00,Bronx,49,5.0,5.0,60.5,54.0,1010.4,0.015,0.0,0.0,0.0,N
14778,2015-04-03 18:00:00,Bronx,52,4.5,5.5,61.0,55.0,1009.6,0.02,0.04,0.0,0.0,N
14784,2015-04-03 19:00:00,Bronx,61,5.0,7.5,62.0,55.5,1008.8,0.0,0.0,0.0,0.0,N
14791,2015-04-03 20:00:00,Bronx,59,6.66666666666667,7.66666666666667,63.3333333333333,56.0,1008.7,0.0,0.0,0.0,0.0,N
14797,2015-04-03 21:00:00,Bronx,53,7.5,7.5,63.0,55.5,1008.2,0.0,0.0,0.0,0.0,N
14803,2015-04-03 22:00:00,Bronx,63,5.0,9.1,63.0,55.0,1007.5,0.0,0.0,0.0,0.0,N
14810,2015-04-03 23:00:00,Bronx,70,4.5,10.0,63.0,56.0,1007.1,0.0,0.0,0.0,0.0,N
14817,2015-04-04 00:00:00,Bronx,72,8.0,9.1,62.0,56.0,1006.3,0.0,0.0,0.0,0.0,N
14824,2015-04-04 01:00:00,Bronx,57,5.0,7.0,61.0,56.0,1005.7,0.0,0.0,0.0,0.0,N
14830,2015-04-04 02:00:00,Bronx,61,5.5,6.0,61.0,56.0,1005.1,0.0,0.0,0.0,0.0,N
14837,2015-04-04 03:00:00,Bronx,38,2.5,5.0,60.5,55.5,1003.8,0.0,0.0,0.0,0.0,N
14843,2015-04-04 04:00:00,Bronx,31,1.5,5.5,60.0,56.0,1002.7,0.0,0.0,0.0,0.0,N
14849,2015-04-04 05:00:00,Bronx,26,2.0,6.0,59.6666666666667,55.6666666666667,1001.7,0.0,0.0,0.04,0.0,N
14855,2015-04-04 06:00:00,Bronx,24,5.0,6.0,60.0,56.0,1000.2,0.0,0.0,0.0,0.0,N
14861,2015-04-04 07:00:00,Bronx,20,2.0,5.66666666666667,58.3333333333333,55.3333333333333,998.5,0.0,0.0266666666666667,0.0,0.0,N
14867,2015-04-04 08:00:00,Bronx,23,7.0,9.1,59.0,55.0,997.4,0.0,0.0766666666666667,0.0,0.0,N
14873,2015-04-04 09:00:00,Bronx,33,12.0,8.0,56.0,51.0,998.8,0.0,0.0866666666666667,0.0,0.0,N
14879,2015-04-04 10:00:00,Bronx,43,8.5,10.0,50.5,42.0,1000.8,0.01,0.0983333333333333,0.0,0.0,N
14885,2015-04-04 11:00:00,Bronx,40,12.3333333333333,10.0,47.0,37.3333333333333,1003.4,0.0,0.111666666666667,0.0,0.0,N
14892,2015-04-04 12:00:00,Bronx,45,16.5,10.0,46.5,34.0,1006.0,0.0,0.01,0.05,0.0,N
14899,2015-04-04 13:00:00,Bronx,43,13.0,10.0,47.0,32.0,1006.9,0.0,0.138333333333333,0.0,0.0,N
14906,2015-04-04 14:00:00,Bronx,45,8.0,10.0,49.0,30.0,1008.0,0.0,0.141666666666667,0.0,0.0,N
14913,2015-04-04 15:00:00,Bronx,63,13.0,10.0,50.0,27.0,1009.3,0.0,0.101666666666667,0.0,0.0,N
14919,2015-04-04 16:00:00,Bronx,53,11.0,10.0,49.0,25.0,1010.4,0.0,0.0991666666666667,0.0,0.0,N
14926,2015-04-04 17:00:00,Bronx,63,14.0,10.0,49.0,22.0,1011.2,0.0,0.0925,0.0,0.0,N
14932,2015-04-04 18:00:00,Bronx,64,15.0,10.0,50.0,16.0,1012.1,0.0,0.0816666666666667,0.0,0.0,N
14939,2015-04-04 19:00:00,Bronx,55,13.0,10.0,50.0,15.0,1012.6,0.0,0.055,0.0,0.0,N
14946,2015-04-04 20:00:00,Bronx,45,11.0,10.0,51.0,16.0,1013.2,0.0,0.025,0.0,0.0,N
14953,2015-04-04 21:00:00,Bronx,84,9.0,10.0,50.0,16.0,1014.2,0.0,0.015,0.0,0.0,N
14959,2015-04-04 22:00:00,Bronx,83,9.0,10.0,49.0,16.0,1015.4,0.0,0.0075,0.0,0.0,N
14966,2015-04-04 23:00:00,Bronx,92,15.0,10.0,48.0,14.0,1016.3,0.0,0.0025,0.0,0.0,N
14973,2015-04-05 00:00:00,Bronx,105,10.0,10.0,47.0,16.0,1017.5,0.0,0.0,0.0,0.0,N
14980,2015-04-05 01:00:00,Bronx,65,13.0,10.0,46.0,14.0,1019.1,0.0,0.0,0.0,0.0,N
14987,2015-04-05 02:00:00,Bronx,50,6.0,10.0,45.0,15.0,1020.1,0.0,0.0,0.0,0.0,N
14994,2015-04-05 03:00:00,Bronx,46,5.0,10.0,44.0,16.0,1020.6,0.0,0.0,0.0,0.0,N
15000,2015-04-05 04:00:00,Bronx,40,3.0,10.0,43.0,17.0,1021.0,0.0,0.0,0.0,0.0,N
15006,2015-04-05 05:00:00,Bronx,21,3.0,10.0,43.0,17.0,1020.9,0.0,0.0,0.01,0.0,N
15012,2015-04-05 06:00:00,Bronx,21,0.0,10.0,42.0,18.0,1020.9,0.0,0.0,0.0,0.0,N
15018,2015-04-05 07:00:00,Bronx,18,0.0,10.0,44.0,16.0,1020.9,0.0,0.0,0.0,0.0,N
15025,2015-04-05 08:00:00,Bronx,16,5.0,10.0,43.0,18.0,1021.0,0.0,0.0,0.0,0.0,N
