,pickup_dt,borough,pickups,spd,vsb,temp,dewp,slp,pcp01,pcp06,pcp24,sd,hday
968,2015-01-07 04:00:00,Bronx,5,9.0,8.0,21.0,13.0,1017.4,0.0,0.0,0.0283333333333333,0.0,N
974,2015-01-07 05:00:00,Bronx,11,3.0,9.1,20.0,12.0,1016.4,0.0,0.0,0.05,0.0,N
981,2015-01-07 06:00:00,Bronx,11,5.0,9.1,20.0,11.0,1016.2,0.0,0.0,0.0216666666666667,0.0416666666666667,N
988,2015-01-07 07:00:00,Bronx,21,6.0,10.0,20.0,10.0,1016.5,0.0,0.0,0.0066666666666666,0.0833333333333333,N
995,2015-01-07 08:00:00,Bronx,40,7.0,10.0,20.0,9.0,1016.1,0.0,0.0,0.0,0.125,N
1002,2015-01-07 09:00:00,Bronx,33,7.0,10.0,21.0,9.0,1014.5,0.0,0.0,0.0,0.166666666666667,N
1008,2015-01-07 10:00:00,Bronx,28,9.0,10.0,22.0,10.0,1013.4,0.0,0.0,0.0,0.208333333333333,N
1015,2015-01-07 11:00:00,Bronx,24,7.0,10.0,21.0,10.0,1013.0,0.0,0.0,0.0,0.25,N
1022,2015-01-07 12:00:00,Bronx,19,5.0,10.0,21.0,11.0,1013.3,0.0,0.0,0.05,0.291666666666667,N
1029,2015-01-07 13:00:00,Bronx,14,14.0,10.0,21.0,8.0,1013.9,0.0,0.0,0.0,0.333333333333333,N
1036,2015-01-07 14:00:00,Bronx,27,14.0,10.0,21.0,5.0,1014.4,0.0,0.0,0.0,0.375,N
1042,2015-01-07 15:00:00,Bronx,48,16.0,10.0,22.0,4.0,1014.4,0.0,0.0,0.0,0.416666666666667,N
1049,2015-01-07 16:00:00,Bronx,28,14.0,10.0,23.0,2.0,1013.9,0.0,0.0,0.0,0.458333333333333,N
1056,2015-01-07 17:00:00,Bronx,35,16.0,10.0,23.0,1.0,1013.0,0.0,0.0,0.0,0.5,N
1062,2015-01-07 18:00:00,Bronx,41,8.0,10.0,22.0,6.0,1013.4,0.0,0.0,0.0,0.541666666666667,N
1069,2015-01-07 19:00:00,Bronx,35,16.0,10.0,23.0,7.0,1013.7,0.0,0.0,0.0,0.583333333333333,N
1075,2015-01-07 20:00:00,Bronx,33,11.0,10.0,22.0,2.0,1014.9,0.0,0.0,0.0,0.625,N
1082,2015-01-07 21:00:00,Bronx,38,17.0,10.0,21.0,-2.0,1016.5,0.0,0.0,0.0,0.666666666666667,N
1089,2015-01-07 22:00:00,Bronx,31,18.0,10.0,19.0,-11.0,1018.1,0.0,0.0,0.0,0.708333333333333,N
1096,2015-01-07 23:00:00,Bronx,35,16.0,10.0,17.0,-9.0,1020.2,0.0,0.0,0.0,0.75,N
1103,2015-01-08 00:00:00,Bronx,27,11.0,10.0,15.0,-10.0,1021.2,0.0,0.0,0.0,0.791666666666667,N
1110,2015-01-08 01:00:00,Bronx,14,21.0,10.0,12.0,-13.0,1022.7,0.0,0.0,0.0,0.833333333333333,N
1117,2015-01-08 02:00:00,Bronx,6,14.0,10.0,11.0,-11.0,1023.6,0.0,0.0,0.0,0.875,N
1123,2015-01-08 03:00:00,Bronx,9,14.0,10.0,10.0,-11.0,1024.2,0.0,0.0,0.0,0.916666666666667,N
1129,2015-01-08 04:00:00,Bronx,3,13.0,10.0,10.0,-11.0,1024.1,0.0,0.0,0.0,0.958333333333333,N
1136,2015-01-08 05:00:00,Bronx,10,13.0,10.0,9.0,-12.0,1025.1,0.0,0.0,0.0,1.0,N
